x,y,z,sum_intensity_in_photons,bg_per_punctum,bg_per_pixel,zi,zf,overlap_with_bulk_stain,image_filename
59.0,26.0,10.0,238.86187744140625,1065.49658203125,17.758275985717773,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
59.0,1009.0,10.0,249.4463348388672,1250.53662109375,20.84227752685547,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
60.0,129.0,10.0,443.84698486328125,1679.5572509765625,27.99262046813965,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
61.0,483.0,10.0,307.47711181640625,2714.0908203125,45.23484802246094,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
61.0,726.0,10.0,206.4569549560547,1405.5450439453125,23.425750732421875,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
62.0,304.0,10.0,315.1994323730469,1199.1949462890625,19.986581802368164,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
62.0,591.0,10.0,285.4481201171875,1276.6224365234375,21.277040481567383,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
62.0,909.0,10.0,235.03330993652344,1399.412841796875,23.32354736328125,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
64.0,652.0,10.0,419.21630859375,1250.3125,20.83854103088379,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
64.0,341.0,10.0,267.11083984375,1387.33203125,23.12220001220703,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
64.0,869.0,10.0,274.6154479980469,1789.097900390625,29.81829833984375,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
64.0,889.0,10.0,178.19009399414062,1464.74853515625,24.4124755859375,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
65.0,138.0,10.0,222.4545440673828,1356.1968994140625,22.603281021118164,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
65.0,322.0,10.0,520.7340087890625,1222.310546875,20.371843338012695,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
65.0,525.0,10.0,157.14743041992188,1251.4986572265625,20.85831069946289,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
65.0,638.0,10.0,409.3277282714844,1377.2088623046875,22.953481674194336,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
66.0,356.0,10.0,161.020751953125,1248.7059326171875,20.811765670776367,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
67.0,786.0,10.0,441.0085754394531,1437.938232421875,23.96563720703125,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
67.0,295.0,10.0,178.22940063476562,1226.8355712890625,20.4472599029541,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
68.0,739.0,10.0,189.60020446777344,1163.8646240234375,19.397743225097656,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
68.0,771.0,10.0,300.4673767089844,1512.544921875,25.209081649780273,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
68.0,847.0,10.0,222.64401245117188,1556.274658203125,25.937911987304688,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
68.0,934.0,10.0,262.12060546875,1511.2427978515625,25.187379837036133,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
70.0,409.0,10.0,247.34425354003906,1264.330322265625,21.072172164916992,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
71.0,134.0,10.0,199.3955078125,1341.090087890625,22.35150146484375,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
72.0,842.0,10.0,431.7728576660156,1384.0677490234375,23.06779670715332,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
74.0,501.0,10.0,179.40115356445312,2003.0628662109375,33.38438034057617,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
75.0,870.0,10.0,134.48275756835938,1406.728759765625,23.445480346679688,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
76.0,766.0,10.0,270.103515625,1852.582275390625,30.876371383666992,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
77.0,287.0,10.0,451.0286865234375,1379.693603515625,22.99489402770996,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
76.0,452.0,10.0,130.62921142578125,1417.425537109375,23.62375831604004,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
76.0,894.0,10.0,123.32725524902344,1479.3653564453125,24.656089782714844,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
76.0,983.0,10.0,272.2690124511719,1332.0233154296875,22.200387954711914,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
79.0,1111.0,10.0,230.831787109375,1349.264892578125,22.487747192382812,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
80.0,424.0,10.0,25.07927131652832,1235.3282470703125,20.588804244995117,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
82.0,682.0,10.0,347.6321716308594,1496.723876953125,24.945398330688477,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
81.0,1078.0,10.0,403.4936218261719,1406.6531982421875,23.4442195892334,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
82.0,616.0,10.0,116.55763244628906,1882.5516357421875,31.3758602142334,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
82.0,639.0,10.0,361.1535949707031,1423.421142578125,23.72368621826172,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
83.0,494.0,10.0,425.98077392578125,1970.393310546875,32.83988952636719,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
84.0,848.0,10.0,446.0637512207031,1848.9207763671875,30.815345764160156,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
84.0,647.0,10.0,308.7240905761719,1586.398681640625,26.439977645874023,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
84.0,722.0,10.0,441.4426574707031,1535.2532958984375,25.587554931640625,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
85.0,345.0,10.0,310.5530090332031,1204.6317138671875,20.07719612121582,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
86.0,253.0,10.0,285.9435729980469,1178.003173828125,19.633386611938477,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
86.0,892.0,10.0,441.4376220703125,1690.4300537109375,28.1738338470459,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
86.0,1058.0,10.0,386.2673645019531,1526.1959228515625,25.43659782409668,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
87.0,928.0,10.0,111.34738159179688,1404.724365234375,23.412073135375977,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
88.0,126.0,10.0,238.63124084472656,1277.4393310546875,21.2906551361084,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
88.0,186.0,10.0,285.1298522949219,1096.62109375,18.27701759338379,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
88.0,594.0,10.0,282.83831787109375,1445.05859375,24.08431053161621,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
88.0,710.0,10.0,156.62229919433594,1372.0107421875,22.866846084594727,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
90.0,30.0,10.0,340.7063293457031,1280.86572265625,21.347761154174805,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
90.0,448.0,10.0,276.4297180175781,1314.6728515625,21.91121482849121,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
90.0,535.0,10.0,185.75408935546875,1316.4925537109375,21.94154167175293,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
94.0,622.0,10.0,1408.3017578125,4720.9775390625,78.6829605102539,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
90.0,637.0,10.0,280.0529479980469,1518.4072265625,25.306787490844727,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
91.0,273.0,10.0,239.64303588867188,1256.3341064453125,20.938901901245117,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
91.0,668.0,10.0,563.8399658203125,1514.15625,25.235937118530273,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
92.0,357.0,10.0,330.8455505371094,1170.0634765625,19.50105857849121,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
92.0,769.0,10.0,359.65875244140625,1702.7156982421875,28.37859535217285,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
92.0,1189.0,10.0,169.96839904785156,1516.1827392578125,25.269712448120117,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
93.0,84.0,10.0,289.00518798828125,1132.3013916015625,18.87169075012207,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
93.0,978.0,10.0,301.6413879394531,1361.258544921875,22.68764305114746,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
